% 2016îN 11åé 14ì˙ 17éû 34ï™ 26.835000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  2: 0:30
END         TIME :  2008/12/13  2:30: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
     86  1509    526513    8113  -3761081.9849   3636605.9557   3636250.0645    2215.3549   -9921.7341      55.0459
     87  1509    526514    8114  -3761082.0158   3636605.9483   3636250.1116    2215.3817   -9921.7053      55.0868
     88  1509    526515    8115  -3761082.0389   3636605.9402   3636250.1799    2215.4036   -9921.6558      55.1351
     89  1509    526516    8116  -3761082.0471   3636605.9283   3636250.2052    2215.4178   -9921.6337      55.1476
     90  1509    526517    8117  -3761082.0606   3636605.9196   3636250.2491    2215.4335   -9921.5999      55.1759
     91  1509    526518    8118  -3761082.0782   3636605.9154   3636250.3061    2215.4487   -9921.5588      55.2165
     92  1509    526519    8119  -3761082.0886   3636605.9204   3636250.3325    2215.4524   -9921.5435      55.2407
     93  1509    526520    8120  -3761082.1015   3636605.9178   3636250.3629    2215.4633   -9921.5229      55.2643
     94  1509    526521    8121  -3761082.1213   3636605.9177   3636250.4260    2215.4771   -9921.4794      55.3122
     95  1509    526522    8122  -3761082.1455   3636605.9217   3636250.4747    2215.4910   -9921.4511      55.3567
     96  1509    526523    8123  -3761082.1509   3636605.9209   3636250.4506    2215.4953   -9921.4727      55.3455
     97  1509    526524    8124  -3761082.1618   3636605.9290   3636250.4544    2215.4972   -9921.4773      55.3587
     98  1509    526525    8125  -3761082.1785   3636605.9285   3636250.4790    2215.5091   -9921.4639      55.3824
     99  1509    526526    8126  -3761082.1870   3636605.9412   3636250.4700    2215.5059   -9921.4799      55.3895
    100  1509    526527    8127  -3761082.2057   3636605.9473   3636250.5045    2215.5145   -9921.4618      55.4237
    101  1509    526528    8128  -3761082.2319   3636605.9530   3636250.5559    2215.5287   -9921.4328      55.4719
