% 2016îN 11åé 22ì˙ 16éû 27ï™ 59.386000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  020606_rov_mod.02o
Ephemeris   File :  020606_rov_mod.02n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2002/ 6/ 6  5:28:20
END         TIME :  2002/ 6/ 6  5:43: 5
Ref. Position[m] :  X = -3761137.6450,  Y = 3636645.7770,  Z = 3636348.1380

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD      X_fix[m]       Y_fix[m]       Z_fix[m]       E_fix[m]     N_fix[m]     U_fix[m] 
%-------------------------------------------------------------------------------------------------------------------------------
    118  1169    365417   19817  -3760915.4976   3636771.3528   3636370.9239    -244.6936      60.1854     -46.2675
    119  1169    365418   19818  -3760915.2528   3636771.6909   3636370.8230    -245.1069      60.0688     -46.2771
    120  1169    365419   19819  -3760915.0055   3636772.0452   3636370.7357    -245.5335      59.9581     -46.2710
    121  1169    365420   19820  -3760914.7689   3636772.3978   3636370.6377    -245.9514      59.8347     -46.2657
    122  1169    365421   19821  -3760914.5127   3636772.7602   3636370.5395    -246.3901      59.7155     -46.2665
    123  1169    365422   19822  -3760914.2509   3636773.1038   3636370.4614    -246.8191      59.6224     -46.2698
    124  1169    365423   19823  -3760913.9843   3636773.4560   3636370.3776    -247.2576      59.5234     -46.2743
    125  1169    365424   19824  -3760913.7226   3636773.8073   3636370.2902    -247.6920      59.4196     -46.2784
    126  1169    365425   19825  -3760913.4600   3636774.1519   3636370.2195    -248.1223      59.3326     -46.2774
    127  1169    365426   19826  -3760913.1999   3636774.4888   3636370.1480    -248.5453      59.2469     -46.2798
    128  1169    365427   19827  -3760912.9397   3636774.8332   3636370.0742    -248.9738      59.1564     -46.2792
    129  1169    365428   19828  -3760912.6713   3636775.1659   3636370.0218    -249.3994      59.0915     -46.2778
