% 2016îN 10åé 13ì˙ 15éû 49ï™ 33.245000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  igrg3650.15i
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 10: 0: 0
END         TIME :  2015/12/31 11: 7:30
Ref. Position[m] :  X = -3762367.3634,  Y = 3680867.5254,  Z = 3590465.3036
True Position[m] :  X = -3762367.3634,  Y = 3680867.5254,  Z = 3590465.3036
True Baseline[m] :        0.0000

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
    116  1877    385080   39480  -3762367.5003   3680867.6891   3590465.5066      -0.0213       0.0471       0.2899
    117  1877    385110   39510  -3762367.5015   3680867.6960   3590465.5139      -0.0254       0.0499       0.2988
    118  1877    385140   39540  -3762367.4998   3680867.6909   3590465.5081      -0.0229       0.0478       0.2916
    119  1877    385170   39570  -3762367.5011   3680867.6928   3590465.5109      -0.0233       0.0489       0.2950
    120  1877    385200   39600  -3762367.5026   3680867.7012   3590465.5186      -0.0283       0.0514       0.3051
    121  1877    385230   39630  -3762367.5033   3680867.7037   3590465.5216      -0.0296       0.0525       0.3086
    122  1877    385260   39660  -3762367.5058   3680867.7173   3590465.5350      -0.0376       0.0572       0.3255
    123  1877    385290   39690  -3762367.5062   3680867.7135   3590465.5322      -0.0346       0.0562       0.3220
    124  1877    385320   39720  -3762367.5034   3680867.7056   3590465.5230      -0.0309       0.0528       0.3105
    125  1877    385350   39750  -3762367.5021   3680867.6986   3590465.5169      -0.0268       0.0511       0.3023
    126  1877    385380   39780  -3762367.5016   3680867.6932   3590465.5125      -0.0233       0.0498       0.2965
    127  1877    385410   39810  -3762367.4995   3680867.6901   3590465.5084      -0.0226       0.0485       0.2910
    128  1877    385440   39840  -3762367.4981   3680867.6865   3590465.5052      -0.0209       0.0479       0.2863
    129  1877    385470   39870  -3762367.4984   3680867.6906   3590465.5094      -0.0237       0.0496       0.2913
    130  1877    385500   39900  -3762367.4964   3680867.6816   3590465.5010      -0.0187       0.0470       0.2802
    131  1877    385530   39930  -3762367.4987   3680867.6889   3590465.5097      -0.0223       0.0504       0.2907
    132  1877    385560   39960  -3762367.4987   3680867.6923   3590465.5130      -0.0247       0.0517       0.2945
    133  1877    385590   39990  -3762367.5025   3680867.6942   3590465.5180      -0.0234       0.0536       0.3007
    134  1877    385620   40020  -3762367.4983   3680867.6873   3590465.5098      -0.0214       0.0514       0.2895
    135  1877    385650   40050  -3762367.4941   3680867.6838   3590465.5056      -0.0218       0.0510       0.2827
