% 2016îN 11åé 14ì˙ 17éû 31ï™ 30.982000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  2:30: 0
END         TIME :  2008/12/13  3: 0: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD      X_fix[m]       Y_fix[m]       Z_fix[m]       E_fix[m]     N_fix[m]     U_fix[m] 
%-------------------------------------------------------------------------------------------------------------------------------
    147  1509    527546    9146  -3759622.2388   3636890.4104   3637402.3403     995.8144   -8489.5889      20.4977
    148  1509    527547    9147  -3759615.1925   3636889.8102   3637409.7767     991.3456   -8480.3534      20.2848
    149  1509    527548    9148  -3759607.7017   3636889.4299   3637417.2528     986.4097   -8470.9896      19.9584
    150  1509    527549    9149  -3759599.7395   3636889.1884   3637424.8133     981.0461   -8461.4177      19.4822
    151  1509    527550    9150  -3759591.6404   3636888.9954   3637432.5534     975.5526   -8451.6616      19.0563
    152  1509    527551    9151  -3759583.5545   3636888.7474   3637440.4730     970.1078   -8441.7421      18.7101
    153  1509    527552    9152  -3759575.4341   3636888.5482   3637448.4474     964.6039   -8431.7828      18.4028
    154  1509    527553    9153  -3759567.1915   3636888.4729   3637456.3870     958.9260   -8421.8513      18.0742
    155  1509    527554    9154  -3759558.8579   3636888.5325   3637464.3010     953.0879   -8411.9570      17.7541
    156  1509    527555    9155  -3759550.5184   3636888.6275   3637472.1895     947.2202   -8402.0953      17.4361
    157  1509    527556    9156  -3759542.1778   3636888.7394   3637480.0599     941.3396   -8392.2547      17.1165
    158  1509    527557    9157  -3759533.8963   3636888.8455   3637488.0040     935.5043   -8382.3757      16.8708
    159  1509    527558    9158  -3759525.4636   3636888.9921   3637495.8446     929.5347   -8372.5354      16.4998
    160  1509    527559    9159  -3759517.0537   3636889.1288   3637503.6817     923.5881   -8362.7033      16.1346
    161  1509    527560    9160  -3759508.6805   3636889.2847   3637511.5867     917.6532   -8352.8385      15.8409
    162  1509    527561    9161  -3759500.3220   3636889.4141   3637519.4739     911.7476   -8342.9837      15.5305
    163  1509    527562    9162  -3759491.9873   3636889.5566   3637527.3710     905.8492   -8333.1359      15.2472
    164  1509    527563    9163  -3759483.7010   3636889.7384   3637535.2418     899.9561   -8323.3453      14.9996
    170  1509    527569    9169  -3759435.5653   3636887.7994   3637581.9226     867.8752   -8264.4895      12.4079
    171  1509    527570    9170  -3759428.0878   3636888.0135   3637589.2047     862.5214   -8255.5275      12.3161
    172  1509    527571    9171  -3759420.5537   3636888.2436   3637596.5424     857.1167   -8246.5032      12.2322
