% 2016îN 7åé 27ì˙ 15éû 16ï™ 30.055000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 22: 0: 0
END         TIME :  2015/12/31 23: 7:30
Ref. Position[m] :  X = -3755383.2183,  Y = 3675126.8517,  Z = 3603381.8586

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
     76  1877    427050   81450  -3762367.2301   3680867.9005   3590465.3566      -0.3613      -0.0509       0.1677
     77  1877    427080   81480  -3762367.1962   3680867.9150   3590465.3726      -0.3954      -0.0298       0.1651
     78  1877    427110   81510  -3762367.1983   3680867.9328   3590465.3780      -0.4067      -0.0331       0.1796
     79  1877    427140   81540  -3762367.3100   3680868.0060   3590465.4256      -0.3809      -0.0681       0.3147
     80  1877    427170   81570  -3762367.3638   3680868.0446   3590465.4732      -0.3708      -0.0659       0.3955
     81  1877    427200   81600  -3762367.4192   3680868.0529   3590465.4951      -0.3380      -0.0735       0.4454
     82  1877    427230   81630  -3762367.3652   3680868.0143   3590465.4510      -0.3482      -0.0728       0.3663
     83  1877    427260   81660  -3762367.3241   3680867.9525   3590465.3850      -0.3327      -0.0861       0.2691
     84  1877    427290   81690  -3762367.2943   3680867.9128   3590465.3661      -0.3253      -0.0739       0.2180
     85  1877    427320   81720  -3762367.3294   3680867.9228   3590465.3893      -0.3079      -0.0730       0.2576
     86  1877    427350   81750  -3762367.3607   3680867.9778   3590465.4351      -0.3252      -0.0696       0.3337
     87  1877    427380   81780  -3762367.3254   3680867.9833   3590465.3973      -0.3539      -0.0887       0.2946
     88  1877    427410   81810  -3762367.2947   3680867.9761   3590465.3816      -0.3702      -0.0864       0.2635
     89  1877    427440   81840  -3762367.2459   3680867.9395   3590465.3442      -0.3782      -0.0830       0.1925
     90  1877    427470   81870  -3762367.2233   3680867.9309   3590465.3416      -0.3879      -0.0725       0.1727
     91  1877    427500   81900  -3762367.2999   3680867.9592   3590465.3840      -0.3545      -0.0798       0.2582
     92  1877    427530   81930  -3762367.2591   3680867.9778   3590465.3895      -0.3963      -0.0662       0.2480
     93  1877    427560   81960  -3762367.2493   3680868.0059   3590465.3833      -0.4233      -0.0784       0.2549
     94  1877    427590   81990  -3762367.1619   3680867.9957   3590465.3463      -0.4771      -0.0695       0.1765
     95  1877    427620   82020  -3762367.2082   3680868.0090   3590465.3572      -0.4542      -0.0844       0.2177
     96  1877    427650   82050  -3762367.2293   3680868.0435   3590465.4095      -0.4641      -0.0635       0.2796
     97  1877    427680   82080  -3762367.2276   3680868.1087   3590465.4294      -0.5119      -0.0722       0.3274
     98  1877    427710   82110  -3762367.2432   3680868.1752   3590465.4541      -0.5485      -0.0846       0.3889
     99  1877    427740   82140  -3762367.2090   3680868.1588   3590465.4259      -0.5608      -0.0874       0.3434
    100  1877    427770   82170  -3762367.1958   3680868.2094   3590465.4620      -0.6061      -0.0724       0.3852
    101  1877    427800   82200  -3762367.1236   3680868.2110   3590465.4306      -0.6578      -0.0697       0.3258
    102  1877    427830   82230  -3762367.0758   3680868.2246   3590465.3926      -0.7009      -0.0870       0.2839
    103  1877    427860   82260  -3762367.0772   3680868.2008   3590465.3447      -0.6829      -0.1177       0.2440
    104  1877    427890   82290  -3762367.1564   3680868.2155   3590465.3735      -0.6380      -0.1318       0.3154
    105  1877    427920   82320  -3762367.2590   3680868.2560   3590465.4476      -0.5952      -0.1283       0.4412
    106  1877    427950   82350  -3762367.2753   3680868.2599   3590465.4656      -0.5866      -0.1216       0.4632
    107  1877    427980   82380  -3762367.2131   3680868.2436   3590465.4490      -0.6185      -0.1036       0.4078
    108  1877    428010   82410  -3762367.1244   3680868.2543   3590465.4402      -0.6881      -0.0792       0.3567
    109  1877    428040   82440  -3762367.1633   3680868.2731   3590465.5234      -0.6744      -0.0338       0.4376
    110  1877    428070   82470  -3762367.1616   3680868.3134   3590465.5299      -0.7043      -0.0438       0.4634
    111  1877    428100   82500  -3762366.9724   3680868.2390   3590465.3238      -0.7835      -0.1076       0.1924
    112  1877    428130   82530  -3762366.7811   3680868.1776   3590465.1662      -0.8734      -0.1358      -0.0449
    113  1877    428160   82560  -3762366.8215   3680868.2638   3590465.2073      -0.9067      -0.1524       0.0518
    114  1877    428190   82590  -3762367.0767   3680868.3767   3590465.4682      -0.8090      -0.0853       0.4149
