% 2016îN 11åé 14ì˙ 17éû 45ï™ 1.662000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  3: 0: 0
END         TIME :  2008/12/13  3:30: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
     74  1509    529273   10873  -3755718.1013   3633432.1979   3644793.9805     765.9211     553.9015       3.2230
     75  1509    529274   10874  -3755718.7707   3633421.9336   3644803.1426     773.7626     565.2252       3.0391
     76  1509    529275   10875  -3755719.2569   3633411.7378   3644812.1255     781.4275     576.4504       2.6836
     77  1509    529276   10876  -3755719.4777   3633401.8379   3644821.2285     788.6951     587.7653       2.4094
     79  1509    529278   10878  -3755718.8229   3633383.1420   3644839.7506     801.6748     610.6654       2.0260
     80  1509    529279   10879  -3755717.6341   3633374.6699   3644849.2286     806.9362     622.2987       1.9508
     81  1509    529280   10880  -3755715.7774   3633367.0283   3644858.6757     811.1364     633.8507       1.9378
     82  1509    529281   10881  -3755713.4871   3633360.1718   3644867.8159     814.4708     645.0167       1.9402
     83  1509    529282   10882  -3755710.7407   3633353.8870   3644876.8390     817.0773     656.0469       1.9325
     84  1509    529283   10883  -3755707.4998   3633348.0619   3644885.8975     819.0095     667.1266       1.9159
     85  1509    529284   10884  -3755703.7576   3633342.6202   3644895.1386     820.3176     678.4094       1.9276
     86  1509    529285   10885  -3755699.4467   3633337.4827   3644904.6558     821.0116     690.0315       1.9367
     87  1509    529286   10886  -3755694.5217   3633332.6754   3644914.4549     821.0412     702.0059       1.9345
     88  1509    529287   10887  -3755689.2542   3633328.3378   3644924.1269     820.4951     713.8301       1.9251
     89  1509    529288   10888  -3755683.6339   3633324.6475   3644933.5665     819.2386     725.3511       1.9432
     90  1509    529289   10889  -3755677.6426   3633321.6041   3644942.7105     817.2591     736.5248       1.9413
     91  1509    529290   10890  -3755671.2169   3633319.0863   3644951.7596     814.5999     747.5902       1.9287
     92  1509    529291   10891  -3755664.3130   3633317.0534   3644960.8079     811.2597     758.6587       1.9102
     93  1509    529292   10892  -3755656.8826   3633315.5246   3644969.9086     807.1911     769.7860       1.8992
     94  1509    529293   10893  -3755649.0857   3633314.5818   3644978.8687     802.4466     780.7155       1.9253
     95  1509    529294   10894  -3755641.2222   3633314.1898   3644987.4594     797.2599     791.1500       2.0134
     96  1509    529295   10895  -3755633.4646   3633314.2871   3644995.6679     791.7952     801.0323       2.2228
     97  1509    529296   10896  -3755625.7311   3633314.6589   3645003.6393     786.1500     810.6011       2.4663
     98  1509    529297   10897  -3755618.0196   3633315.1521   3645011.6405     780.4329     820.1367       2.8090
     99  1509    529298   10898  -3755610.4225   3633315.6198   3645019.6193     774.8136     829.6169       3.1916
    100  1509    529299   10899  -3755602.8314   3633316.0842   3645027.6208     769.2009     839.1145       3.5889
    101  1509    529300   10900  -3755595.1683   3633316.5319   3645035.5912     763.5502     848.6231       3.9164
    102  1509    529301   10901  -3755587.5402   3633316.9528   3645043.4814     757.9431     858.0623       4.2032
    103  1509    529302   10902  -3755579.9622   3633317.2260   3645051.1313     752.4769     867.3431       4.2974
    104  1509    529303   10903  -3755572.2955   3633317.5115   3645058.7255     746.9402     876.6100       4.3144
    105  1509    529304   10904  -3755564.3008   3633317.7692   3645066.5528     741.1954     886.2142       4.2565
    106  1509    529305   10905  -3755555.8585   3633317.9327   3645074.6690     735.2070     896.2775       4.0477
    107  1509    529306   10906  -3755547.1336   3633318.0661   3645082.9614     729.0437     906.6135       3.7570
    108  1509    529307   10907  -3755537.7023   3633318.0760   3645091.8819     722.4779     917.8048       3.3413
    109  1509    529308   10908  -3755527.4912   3633317.4452   3645102.0385     715.8302     930.5856       2.8127
    110  1509    529309   10909  -3755516.4675   3633316.6935   3645113.2561     708.7044     944.6186       2.3469
    111  1509    529310   10910  -3755505.0764   3633315.8955   3645125.2252     701.3563     959.4369       2.0705
    112  1509    529311   10911  -3755493.9014   3633314.5712   3645137.9252     694.5367     974.9745       2.0415
    113  1509    529312   10912  -3755483.2692   3633312.2804   3645151.0914     688.7891     991.0557       2.0497
    114  1509    529313   10913  -3755473.3096   3633308.9857   3645164.5809     684.2307    1007.5249       2.0678
    115  1509    529314   10914  -3755464.0819   3633304.6923   3645178.3085     680.8988    1024.2860       2.0848
    117  1509    529316   10916  -3755447.8144   3633293.4242   3645206.1137     677.6835    1058.2622       2.0805
    118  1509    529317   10917  -3755440.4694   3633286.8709   3645220.0759     677.2850    1075.3408       2.0534
    119  1509    529318   10918  -3755433.2210   3633280.2046   3645234.0527     677.0348    1092.4366       2.0270
    120  1509    529319   10919  -3755425.9428   3633273.5186   3645248.1069     676.7781    1109.6159       2.0165
    121  1509    529320   10920  -3755418.5534   3633266.7384   3645262.3737     676.5116    1127.0529       2.0090
    122  1509    529321   10921  -3755411.0723   3633259.8322   3645276.8925     676.2720    1144.7842       2.0208
    123  1509    529322   10922  -3755403.4913   3633252.8302   3645291.5572     676.0318    1162.7145       2.0030
    124  1509    529323   10923  -3755395.8711   3633245.7923   3645306.3479     675.7901    1180.7785       2.0142
    125  1509    529324   10924  -3755388.1967   3633238.6794   3645321.2162     675.5646    1198.9582       1.9955
    126  1509    529325   10925  -3755380.5158   3633231.5101   3645336.1840     675.3751    1217.2447       1.9979
    127  1509    529326   10926  -3755372.7677   3633224.3355   3645351.2481     675.1427    1235.6398       2.0132
    128  1509    529327   10927  -3755364.9355   3633217.1430   3645366.3726     674.8646    1254.1263       2.0034
    129  1509    529328   10928  -3755357.1003   3633209.8643   3645381.5730     674.6465    1272.7105       1.9866
    130  1509    529329   10929  -3755349.2226   3633202.5490   3645396.8444     674.4251    1291.3850       1.9647
    131  1509    529330   10930  -3755341.3202   3633195.2730   3645412.1918     674.1582    1310.1162       1.9942
    132  1509    529331   10931  -3755333.5541   3633188.1305   3645427.6363     673.8902    1328.8173       2.2357
    133  1509    529332   10932  -3755325.9877   3633181.1503   3645443.0657     673.6445    1347.3587       2.6784
    134  1509    529333   10933  -3755318.6698   3633174.3501   3645458.1624     673.4421    1365.4533       3.1785
    135  1509    529334   10934  -3755311.4484   3633167.7156   3645472.7222     673.1879    1383.0024       3.5212
    136  1509    529335   10935  -3755304.1975   3633161.1018   3645486.7183     672.8982    1400.0941       3.5344
    137  1509    529336   10936  -3755296.8981   3633154.3657   3645500.3198     672.6628    1416.9316       3.2227
    138  1509    529337   10937  -3755289.5792   3633147.5494   3645513.9214     672.4713    1433.8094       2.8540
    139  1509    529338   10938  -3755282.2053   3633140.6144   3645527.5200     672.3270    1450.7549       2.3836
    140  1509    529339   10939  -3755274.8781   3633133.7436   3645541.2517     672.1689    1467.7643       2.0537
    141  1509    529340   10940  -3755267.5581   3633126.9945   3645555.1967     671.9285    1484.8967       1.9199
    142  1509    529341   10941  -3755260.2399   3633120.2813   3645569.2810     671.6634    1502.1281       1.8877
    143  1509    529342   10942  -3755252.9523   3633113.6072   3645583.3662     671.3917    1519.3319       1.8962
