-0.397231,-0.600506,131.282257,,,
-0.328694,-0.640594,131.37677,,,
2017,10,16,6,59,39.3950329
-0.421146,-0.583983,131.133804,,,
-0.390533,-0.604883,131.259491,,,
2017,10,16,6,59,40.3950329
-0.42864,-0.578505,131.444565,,,
-0.442035,-0.568335,131.438629,,,
2017,10,16,6,59,41.3950329
-0.41283,-0.589891,131.295624,,,
2017,10,16,6,59,42.3950329
-0.426846,-0.57983,131.37677,,,
-0.437903,-0.571525,131.24118,,,
2017,10,16,6,59,43.3950329
-0.437367,-0.571936,131.295624,,,
-0.448904,-0.562926,131.37677,,,
2017,10,16,6,59,44.3950329
-0.47478,-0.54128,131.214966,,,
-0.436726,-0.572425,131.37677,,,
2017,10,16,6,59,45.3950329
-0.477581,-0.53881,131.457932,,,
-0.438395,-0.571148,131.295624,,,
2017,10,16,6,59,46.3950329
-0.476231,-0.540004,131.340652,,,
-0.442329,-0.568106,131.299576,,,
2017,10,16,6,59,47.3950329
-0.476709,-0.539582,131.539093,,,
-0.460622,-0.553378,131.620239,,,
2017,10,16,6,59,48.3950329
-0.484512,-0.532587,131.457932,,,
-0.480351,-0.536342,131.539093,,,
2017,10,16,6,59,49.3950326
-0.475826,-0.540361,131.383209,,,
-0.479338,-0.537248,131.539093,,,
2017,10,16,6,59,50.3950326
-0.495286,-0.522581,131.44902,,,
-0.506939,-0.511286,131.457932,,,
2017,10,16,6,59,51.3950326
-0.496923,-0.521025,131.539093,,,
-0.467914,-0.547227,131.37677,,,
2017,10,16,6,59,52.3950326
-0.484232,-0.532841,131.37529,,,
2017,10,16,6,59,53.3950326
-0.44947,-0.562474,131.37677,,,
-0.487281,-0.530054,131.457932,,,
2017,10,16,6,59,54.3950326
-0.442716,-0.567805,131.37677,,,
-0.437387,-0.57192,131.700912,,,
2017,10,16,6,59,55.3950326
-0.468618,-0.546623,131.572235,,,
-0.433408,-0.574941,131.620239,,,
2017,10,16,6,59,56.3950326
-0.395228,-0.601826,131.539093,,,
-0.423091,-0.582575,131.620239,,,
2017,10,16,6,59,57.3950326
-0.381535,-0.610599,131.539093,,,
-0.465178,-0.549554,131.620239,,,
2017,10,16,6,59,58.3950326
-0.397749,-0.600163,131.656372,,,
-0.400738,-0.598171,131.657852,,,
2017,10,16,6,59,59.3950326
-0.407499,-0.593586,131.539093,,,
-0.389856,-0.60532,131.620239,,,
2017,10,16,7,0,0.3950326
-0.40929,-0.592353,131.642517,,,
-0.380479,-0.611258,131.539093,,,
2017,10,16,7,0,1.3950326
-0.30674,-0.651391,131.620239,,,
-0.332798,-0.638471,131.53067,,,
2017,10,16,7,0,2.3950326
-0.310839,-0.649445,131.60788,,,
-0.357367,-0.625051,131.620239,,,
2017,10,16,7,0,3.3950326
-0.311449,-0.649153,131.594513,,,
-0.35137,-0.628442,131.539093,,,
2017,10,16,7,0,4.3950326
-0.43916,-0.57056,131.582642,,,
-0.409387,-0.592286,131.569275,,,
2017,10,16,7,0,5.3950324
-0.415485,-0.588024,131.592529,,,
-0.388714,-0.606054,131.457932,,,
2017,10,16,7,0,6.3950324
-0.35002,-0.629195,131.539093,,,
-0.368855,-0.618342,131.407455,,,
2017,10,16,7,0,7.3950324
-0.339816,-0.634764,131.389633,,,
2017,10,16,7,0,8.3950324
-0.43949,-0.570306,131.37677,,,
-0.489142,-0.528337,131.457932,,,
2017,10,16,7,0,9.3950324
-0.567828,-0.442686,131.295624,,,
-0.602358,-0.394416,131.457932,,,
2017,10,16,7,0,10.3950324
-0.605696,-0.389272,131.37677,,,
-0.608585,-0.384739,131.700912,,,
2017,10,16,7,0,11.3950324
-0.62023,-0.365671,131.640045,,,
-0.646018,-0.317901,131.620239,,,
2017,10,16,7,0,12.3950324
-0.650295,-0.309057,131.539093,,,
-0.675066,-0.25037,131.620239,,,
2017,10,16,7,0,13.3950324
-0.685285,-0.220872,131.457932,,,
-0.659912,-0.287953,131.539093,,,
2017,10,16,7,0,14.3950324
-0.681227,-0.233087,131.620239,,,
-0.655312,-0.298271,131.539093,,,
2017,10,16,7,0,15.3950324
-0.640507,-0.328863,131.485153,,,
-0.659634,-0.288587,131.457932,,,
2017,10,16,7,0,16.3950324
-0.643009,-0.323943,131.539093,,,
-0.610493,-0.381704,131.457932,,,
2017,10,16,7,0,17.3950324
-0.622104,-0.362472,131.485153,,,
-0.694628,-0.189452,131.37677,,,
2017,10,16,7,0,18.3950324
-0.678706,-0.24033,131.620239,,,
2017,10,16,7,0,19.3950324
-0.678105,-0.242019,131.457932,,,
2017,10,16,7,0,20.3950324
-0.705316,-0.14467,131.52771,,,
2017,10,16,7,0,21.3950324
-0.69699,-0.180567,131.307495,,,
-0.700354,-0.167045,131.411911,,,
2017,10,16,7,0,22.3950324
-0.695875,-0.184818,131.37677,,,
-0.671255,-0.260418,131.457932,,,
2017,10,16,7,0,23.3950324
-0.678104,-0.242022,131.307983,,,
-0.675001,-0.250546,131.457932,,,
2017,10,16,7,0,24.3950324
-0.697325,-0.179269,131.35054,,,
-0.677489,-0.243739,131.37677,,,
2017,10,16,7,0,25.3950324
-0.677083,-0.244865,131.295624,,,
2017,10,16,7,0,26.3950324
-0.689729,-0.206578,131.306503,,,
