% 2016îN 12åé 14ì˙ 12éû 40ï™ 43.845000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  020606_rov_mod.02o
Ephemeris_N File :  020606_rov_mod.02n
Ephemeris_G File :  Nothing
IONEX       File :  igsg1570.02i
IGS SP3     File :  igs11694.sp3
START       TIME :  2002/ 6/ 6  5:28:20
END         TIME :  2002/ 6/ 6  5:43: 5
True Position[m] :  X = -3760913.7226,  Y = 3636773.8073,  Z = 3636370.2902
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8073
True Position[m] :  X = -3760913.4600,  Y = 3636774.1519,  Z = 3636370.2195
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8083
True Position[m] :  X = -3760913.1999,  Y = 3636774.4888,  Z = 3636370.1480
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8060
True Position[m] :  X = -3760912.9397,  Y = 3636774.8332,  Z = 3636370.0742
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8066
True Position[m] :  X = -3760912.6713,  Y = 3636775.1659,  Z = 3636370.0218
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8080
True Position[m] :  X = -3760912.3936,  Y = 3636775.4895,  Z = 3636369.9785
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8039
True Position[m] :  X = -3760912.1186,  Y = 3636775.8286,  Z = 3636369.9300
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8072
True Position[m] :  X = -3760911.8464,  Y = 3636776.1503,  Z = 3636369.8865
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8052
True Position[m] :  X = -3760911.5729,  Y = 3636776.4771,  Z = 3636369.8411
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8043
True Position[m] :  X = -3760911.2889,  Y = 3636776.8087,  Z = 3636369.8026
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8038
True Position[m] :  X = -3760911.0139,  Y = 3636777.1396,  Z = 3636369.7658
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8091
True Position[m] :  X = -3760910.7319,  Y = 3636777.4683,  Z = 3636369.7287
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8090
True Position[m] :  X = -3760910.4481,  Y = 3636777.8030,  Z = 3636369.6911
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8109
True Position[m] :  X = -3760910.1602,  Y = 3636778.1253,  Z = 3636369.6540
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8036
True Position[m] :  X = -3760909.8760,  Y = 3636778.4568,  Z = 3636369.6266
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8094
True Position[m] :  X = -3760909.5859,  Y = 3636778.7803,  Z = 3636369.6147
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8159
True Position[m] :  X = -3760909.2904,  Y = 3636779.0960,  Z = 3636369.6030
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8149
True Position[m] :  X = -3760908.9806,  Y = 3636779.4280,  Z = 3636369.5941
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8164
True Position[m] :  X = -3760908.6787,  Y = 3636779.7452,  Z = 3636369.5824
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8126
True Position[m] :  X = -3760908.3536,  Y = 3636780.0797,  Z = 3636369.5852
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8132
True Position[m] :  X = -3760908.0437,  Y = 3636780.3851,  Z = 3636369.5870
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8057
True Position[m] :  X = -3760907.7316,  Y = 3636780.7055,  Z = 3636369.5878
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8048
True Position[m] :  X = -3760907.4026,  Y = 3636781.0079,  Z = 3636369.6192
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.8013
True Position[m] :  X = -3760907.0745,  Y = 3636781.3191,  Z = 3636369.6373
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.7957
True Position[m] :  X = -3760906.7468,  Y = 3636781.6304,  Z = 3636369.6680
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.7975
True Position[m] :  X = -3760906.4131,  Y = 3636781.9278,  Z = 3636369.7034
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.7907
True Position[m] :  X = -3760906.0817,  Y = 3636782.2198,  Z = 3636369.7468
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.7866
True Position[m] :  X = -3760905.7725,  Y = 3636782.5200,  Z = 3636369.7619
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.7842
True Position[m] :  X = -3760905.4513,  Y = 3636782.8140,  Z = 3636369.8073
True Position[m] :  X =      34.9824,  Y =     135.9613,  Z =     177.7885
True Position[m] :  X = -3760905.1325,  Y = 3636783.1106,  Z = 3636369.8456
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7916
True Position[m] :  X = -3760904.8058,  Y = 3636783.3952,  Z = 3636369.8852
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7840
True Position[m] :  X = -3760904.4708,  Y = 3636783.6711,  Z = 3636369.9579
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7855
True Position[m] :  X = -3760904.1484,  Y = 3636783.9663,  Z = 3636369.9998
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7877
True Position[m] :  X = -3760903.8220,  Y = 3636784.2493,  Z = 3636370.0639
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7934
True Position[m] :  X = -3760903.4882,  Y = 3636784.5249,  Z = 3636370.1215
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7868
True Position[m] :  X = -3760903.1620,  Y = 3636784.8126,  Z = 3636370.1732
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7882
True Position[m] :  X = -3760902.8426,  Y = 3636785.0846,  Z = 3636370.2332
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7894
True Position[m] :  X = -3760902.5141,  Y = 3636785.3604,  Z = 3636370.3023
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7926
True Position[m] :  X = -3760902.1748,  Y = 3636785.6185,  Z = 3636370.3859
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7876
True Position[m] :  X = -3760901.8356,  Y = 3636785.8784,  Z = 3636370.4734
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7860
True Position[m] :  X = -3760901.4904,  Y = 3636786.1530,  Z = 3636370.5605
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7891
True Position[m] :  X = -3760901.1605,  Y = 3636786.4035,  Z = 3636370.6492
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7883
True Position[m] :  X = -3760900.8262,  Y = 3636786.6558,  Z = 3636370.7434
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7891
True Position[m] :  X = -3760900.4675,  Y = 3636786.9046,  Z = 3636370.8375
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7735
True Position[m] :  X = -3760900.1373,  Y = 3636787.1539,  Z = 3636370.9528
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7871
True Position[m] :  X = -3760899.7863,  Y = 3636787.3986,  Z = 3636371.0642
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7836
True Position[m] :  X = -3760899.4244,  Y = 3636787.6554,  Z = 3636371.1726
True Position[m] :  X =      34.9824,  Y =     135.9612,  Z =     177.7790
True Position[m] :  X = -3760899.0849,  Y = 3636787.9115,  Z = 3636371.2823
